x,y,Width,Height,Var,ContrastMichelson,Entropy,IsSplit
484,68,4,8,708.749,0.272727,4.07782,0
484,76,4,4,343.25,0.16763,3.375,0
508,80,4,4,382.746,0.14,3.15564,0
508,84,4,4,716.609,0.154812,3.15564,0
496,104,4,4,570.559,0.203125,3.625,0
500,104,8,4,2122.12,0.360775,4.06955,0
508,104,4,4,554.902,0.261146,3.45282,0
496,108,4,4,413.09,0.16895,3.45282,0
500,108,8,4,2035.03,0.450495,4.39032,0
508,108,4,4,1330.19,0.338843,3.375,0
456,112,4,8,1969.5,0.533123,4.53891,0
456,120,4,8,2016.18,0.552347,4.5,0
472,124,4,4,41.9961,0.167785,2.2744,0
476,124,4,4,49.6836,0.130435,2.48346,0
480,0,8,8,677.062,0.240084,4.37414,0
496,8,8,4,1629,0.4039,4.2622,0
464,16,16,4,2938.11,0.479798,4.95634,0
504,16,8,8,816.252,0.200692,4.34612,0
464,20,16,8,1857.63,0.380145,4.86739,0
480,24,4,8,882.547,0.251701,4.01532,0
484,24,8,8,1546.84,0.488525,4.79087,0
464,28,16,4,1671.6,0.331878,4.53064,0
416,32,8,16,7696.15,0.612782,5.7261,0
424,32,8,16,8922.48,0.646341,5.86978,0
472,40,8,8,1111.91,0.433447,4.57666,0
416,48,16,8,1394.75,0.354015,4.96847,0
384,56,16,8,3645.99,0.431851,5.44972,0
400,56,16,8,1728.67,0.298742,4.99032,0
416,56,16,8,3747.1,0.710372,5.05738,0
480,56,8,4,1346.76,0.354167,4.30423,0
464,60,16,4,1417.08,0.366337,4.48603,0
480,60,8,4,751.559,0.285714,4.11361,0
440,64,8,8,1349.55,0.387755,4.39737,0
480,64,4,16,591.676,0.266187,4.17071,0
440,72,8,8,987.228,0.435356,3.84637,0
488,72,8,8,223.171,0.153488,3.49936,0
504,80,4,8,3218.65,0.465438,4.51532,0
448,112,8,8,4045.17,0.685131,5.15564,0
460,112,4,16,863.062,0.567164,4.07122,0
464,112,8,8,7621.61,0.65625,5.07368,0
472,112,8,4,1690.3,0.448454,4.41391,0
472,116,8,8,3307.85,0.657817,4.94102,0
448,120,8,8,1572.4,0.647059,4.88618,0
464,120,8,8,317.787,0.497674,3.61779,0
384,0,16,16,5677.08,0.636066,5.83515,0
464,0,16,16,1763.86,0.556122,5.14686,0
496,0,8,8,1727.19,0.484472,4.55877,0
504,0,8,8,1302.25,0.380145,4.69909,0
504,8,8,8,1602.73,0.380145,4.68311,0
384,16,16,16,4376.01,0.396694,5.74467,0
492,16,4,16,4727.78,0.665768,4.91431,0
496,24,16,8,3692.83,0.616842,5.3683,0
384,32,8,16,4222.49,0.363515,5.47593,0
392,32,16,16,2311.89,0.337226,5.28988,0
408,32,8,16,3654.97,0.560575,5.50501,0
432,32,16,16,2940.38,0.652695,5.48284,0
448,32,8,16,1278.82,0.386091,4.79343,0
456,32,8,16,565.386,0.324251,4.37385,0
464,32,16,8,1960.61,0.515306,4.71004,0
384,48,32,8,3225.89,0.512266,5.52683,0
432,48,16,16,2956.87,0.577778,5.42607,0
464,48,16,8,3563.11,0.619632,5.22684,0
480,48,8,8,1018.66,0.302222,4.60846,0
488,48,8,8,482.109,0.186858,4.20609,0
496,48,8,8,273.406,0.109541,3.7065,0
504,48,8,8,509.59,0.193738,4.14708,0
488,56,8,8,369.772,0.226545,3.95751,0
496,56,8,8,494.746,0.198238,4.15408,0
504,56,8,8,136.827,0.111538,3.40177,0
384,64,16,8,2538.09,0.42236,5.27228,0
416,64,8,16,1073.98,0.592982,4.38017,0
424,64,16,16,5753.73,0.676471,5.77401,0
384,72,16,16,5672.67,0.636743,5.75424,0
416,80,16,16,4636.24,0.639175,5.44818,0
432,80,16,16,2883.56,0.569038,5.20133,0
480,80,16,8,1458.51,0.545,4.8759,0
496,80,8,8,1703.52,0.416309,4.77142,0
384,88,16,8,4783.16,0.580448,5.60259,0
480,88,16,8,2358.78,0.614325,5.2597,0
496,88,8,8,1517.18,0.334917,4.79087,0
504,88,8,8,787.046,0.3,4.35922,0
448,96,8,16,1743.15,0.420366,4.84229,0
456,96,8,16,2804.32,0.53288,5.1376,0
496,96,16,8,617.798,0.365714,4.39127,0
400,0,16,32,5055.67,0.670886,5.95685,0
448,0,16,32,1671.96,0.601918,5.19552,0
480,32,16,16,2145.44,0.546875,5.1914,0
496,32,16,16,2987.92,0.587174,5.45606,0
448,48,16,16,4477.13,0.676674,5.80335,0
400,64,16,32,6464.12,0.719439,5.92139,0
448,64,16,16,2348.92,0.530928,5.32441,0
464,64,16,16,1118.27,0.440901,4.83316,0
496,64,16,16,3011.68,0.466667,5.43731,0
448,80,16,16,4508.49,0.630573,5.69271,0
464,80,16,16,1942.06,0.519814,5.13601,0
384,96,16,16,8213.38,0.706767,6.11672,0
400,96,16,16,5496.8,0.623188,5.81054,0
464,96,16,16,5408.08,0.624434,5.59966,0
480,96,16,16,1660.34,0.561462,5.11442,0
384,112,16,16,8159.15,0.63583,6.09908,0
400,112,16,16,3837.16,0.598063,5.69729,0
480,112,16,16,1729.44,0.609467,4.92105,0
496,112,16,16,1984.96,0.475983,5.20938,0
416,0,32,32,6326.57,0.780303,6.06003,0
416,96,32,32,2808.53,0.648456,5.59093,0
488,0,8,8,3453.84,0.494737,5.14642,1
480,8,8,8,1419.55,0.38322,4.39163,1
488,8,8,8,2690.44,0.485577,5.04243,1
496,12,8,4,999.125,0.274667,4.03891,1
480,16,4,8,1312.19,0.387654,4.30423,1
484,16,8,8,3145,0.548913,4.88618,1
496,16,8,8,865.338,0.322353,4.39203,1
464,40,8,8,1325.12,0.469388,4.41874,1
464,56,16,4,3851.27,0.588235,4.83134,1
484,64,4,16,867.691,0.287129,4.52182,1
488,64,8,8,208.355,0.179612,3.62671,1
508,80,4,8,576.265,0.170431,3.75393,1
496,104,16,4,1618.59,0.415617,4.75196,1
496,108,16,4,2261.06,0.450495,4.88462,1
456,112,4,16,2512.54,0.593443,5.09727,1
472,124,8,4,78.1875,0.189542,2.93004,1
480,0,16,16,2090.43,0.536797,5.33522,1
496,8,8,8,1331.08,0.4039,4.63916,1
652,256,4,8,6701.98,0.400778,4.625,1
656,260,8,8,11728.7,0.564728,4.77908,1
664,260,8,8,2769.53,0.420814,4.9257,1
704,268,8,4,2865.62,0.419593,4.625,1
676,288,4,8,1025.23,0.26383,4.11361,1
648,296,8,8,5293.91,0.565401,5.10907,1
684,296,4,8,1656.67,0.509859,4.39032,1
744,296,8,8,2979.54,0.448889,5.19516,1
648,304,8,8,6511.37,0.60262,5.12852,1
648,312,8,8,5520.3,0.500891,5.25766,1
656,312,8,4,984.132,0.359281,3.63205,1
672,320,16,4,1487.42,0.43787,4.35726,1
728,320,4,8,1632.69,0.414226,3.85141,1
752,320,8,8,436.215,0.166667,3.87222,1
760,320,8,8,1260.87,0.31677,4.47112,1
672,324,16,4,1333.51,0.459627,4.53518,1
676,328,8,8,1414.8,0.522184,4.17833,1
720,328,4,8,6392.56,0.532258,4.75,1
724,328,4,8,1093.44,0.378824,3.73861,1
688,332,8,4,795.741,0.361702,3.38982,1
672,336,4,8,2767.88,0.450495,4.57782,1
756,336,8,8,1827.41,0.486726,4.66174,1
676,340,8,8,2091.42,0.496471,4.53608,1
712,340,8,8,894.385,0.388571,4.06745,1
728,344,8,8,748.097,0.333333,4.45257,1
676,348,8,4,6794.56,0.525305,4.53891,1
716,360,4,8,3870.8,0.490099,4.47641,1
720,360,8,8,2679,0.559322,4.67132,1
712,368,4,8,5347.56,0.588391,4.45282,1
716,368,4,8,610.121,0.412322,3.71814,1
652,256,4,16,6200.19,0.404639,5.26532,1
704,256,16,4,1087.93,0.219904,4.43275,1
656,260,16,8,7324.02,0.564728,5.52938,1
704,268,16,4,3644.72,0.440901,5.13618,1
656,288,8,16,3304.06,0.561702,5.34372,1
672,288,8,8,2267.13,0.42446,4.95126,1
688,288,8,16,5172.52,0.51938,5.53803,1
696,288,8,16,2382,0.40873,5.11111,1
720,288,16,8,2253.84,0.336976,5.15993,1
744,288,8,16,2027.26,0.448889,5.08349,1
640,296,16,8,5023.34,0.590457,5.34879,1
680,296,8,8,1635.58,0.567251,4.5951,1
640,304,16,16,5529.88,0.644531,5.88627,1
656,304,8,8,209,0.280303,3.40868,1
656,312,8,8,2731.53,0.47549,4.399,1
720,312,16,8,3081.24,0.527559,5.1688,1
640,320,16,16,3555.18,0.5,5.61648,1
656,320,16,16,4752.02,0.652672,5.76564,1
672,320,16,8,1440.03,0.472727,4.74542,1
728,320,8,8,4823.5,0.485294,4.77752,1
752,320,16,8,1056.31,0.31677,4.59759,1
672,328,16,8,1082.25,0.522184,4.34955,1
688,328,8,8,1672.44,0.42446,4.21244,1
720,328,8,8,4423.88,0.532258,5.01376,1
728,328,8,8,429.65,0.327273,4.08407,1
736,328,8,8,6999.34,0.538462,5.33961,1
656,336,16,16,3613.7,0.527559,5.62117,1
672,336,4,16,2498.28,0.466346,5.14798,1
676,336,8,16,4849.21,0.697087,5.20388,1
684,336,4,16,1737.54,0.514754,4.37167,1
712,336,8,16,963.468,0.45509,4.48374,1
756,336,8,16,6026.33,0.652,5.54632,1
720,344,16,8,910.051,0.333333,4.60026,1
680,352,16,16,3276.97,0.621359,5.05755,1
716,352,4,16,3372.09,0.490099,4.43508,1
748,352,8,32,182.576,0.423077,3.67904,1
756,352,4,32,754.698,0.704918,3.66432,1
760,352,8,8,3650.16,0.633136,4.55202,1
720,360,16,8,1996.13,0.614035,4.49827,1
680,368,16,16,285.441,0.398058,3.77971,1
